site_code,individual,leaf_number,surface,random_number,angle,length_pixels
mkpb,i8,l1,lower,2,-45,16.795
mkpb,i8,l1,lower,3,180,15.258
mkpb,i8,l1,lower,4,90,14.67
mkpb,i8,l1,lower,5,-33.69,18.312
mkpb,i8,l1,upper,1,-29.249,28.628
mkpb,i8,l1,upper,2,45,31.121
mkpb,i8,l1,upper,3,-116.565,22.071
mkpb,i8,l1,upper,4,97.765,21.956
mkpb,i8,l1,upper,5,-35.218,20.479
mkpb,i8,l2,lower,1,-39.289,14.896
mkpb,i8,l2,lower,2,-90,16.001
mkpb,i8,l2,lower,3,-34.695,15.723
mkpb,i8,l2,lower,4,-71.565,15.501
mkpb,i8,l2,lower,5,4.086,13.842
mkpb,i8,l2,upper,1,105.524,19.231
mkpb,i8,l2,upper,2,-22.249,23.119
mkpb,i8,l2,upper,3,-24.228,21.914
mkpb,i8,l2,upper,4,3.013,18.527
mkpb,i8,l2,upper,5,-52.431,15.983
pkpp,i1,l1,lower,1,19.983,12.134
pkpp,i1,l1,lower,2,82.405,15.794
pkpp,i1,l1,lower,3,22.62,12.73
pkpp,i1,l1,lower,4,-18.435,15.92
pkpp,i1,l1,lower,5,41.634,12.582
pkpp,i1,l1,upper,1,3.18,18.361
pkpp,i1,l1,upper,2,60.945,20.301
pkpp,i1,l1,upper,3,90,19.015
pkpp,i1,l1,upper,4,3.18,18.527
pkpp,i1,l1,upper,5,32.735,17.385
pkpp,i1,l2,lower,1,0,13
pkpp,i1,l2,lower,2,8.13,14.099
pkpp,i1,l2,lower,3,48.366,12.512
pkpp,i1,l2,lower,4,-5.711,10.398
pkpp,i1,l2,lower,5,-175.914,13.371
pkpp,i1,l2,upper,1,-16.928,24.042
pkpp,i1,l2,upper,2,46.637,25.105
pkpp,i1,l2,upper,3,-17.65,22.94
pkpp,i1,l2,upper,4,9.462,18.248
pkpp,i1,l2,upper,5,75.256,19.647
pkpp,i2,l1,lower,1,-30.256,13.768
pkpp,i2,l1,lower,2,4.764,12.042
pkpp,i2,l1,lower,3,22.62,13.499
pkpp,i2,l1,lower,4,17.103,13.703
pkpp,i2,l1,lower,5,-18.435,12.649
pkpp,i2,l2,lower,1,0,12.333
pkpp,i2,l2,lower,2,90,10.333
pkpp,i2,l2,lower,3,17.103,13.703
pkpp,i2,l2,lower,4,26.565,13.768
pkpp,i2,l2,lower,5,90,11.167
pkpp,i2,l2,upper,1,-35.838,22.475
pkpp,i2,l2,upper,2,-45,15.556
pkpp,i2,l2,upper,3,49.764,16.839
pkpp,i2,l2,upper,4,-15.524,18.774
pkpp,i2,l2,upper,5,-7.595,15.092
pkpp,i3,l1,lower,1,-45,11.353
pkpp,i3,l1,lower,2,-21.801,11.068
pkpp,i3,l1,lower,3,11.31,10.198
pkpp,i3,l1,lower,4,75.964,12.502
pkpp,i3,l1,lower,5,120.256,13.606
pkpp,i3,l1,upper,1,-157.38,26.308
pkpp,i3,l1,upper,2,28.443,26.618
pkpp,i3,l1,upper,3,52.696,26.291
pkpp,i3,l1,upper,4,-52.125,22.727
pkpp,i3,l1,upper,5,39.472,21.708
pkpp,i4,l1,lower,1,17.103,12.966
pkpp,i4,l1,lower,2,26.565,11.629
pkpp,i4,l1,lower,3,4.399,13.537
pkpp,i4,l1,lower,4,78.69,14.97
pkpp,i4,l1,lower,5,33.69,14.153
pkpp,i4,l1,upper,1,-54.782,21.082
pkpp,i4,l1,upper,2,-59.036,17.036
pkpp,i4,l1,upper,3,-43.264,23.104
pkpp,i4,l1,upper,4,-4.97,23.066
pkpp,i4,l1,upper,5,3.814,15.102
pkpp,i4,l2,lower,1,122.471,12.671
pkpp,i4,l2,lower,2,53.13,14.725
pkpp,i4,l2,lower,3,-38.66,12.772
pkpp,i4,l2,lower,4,-55.008,12.003
pkpp,i4,l2,lower,5,37.875,11.654
