site_code,individual,leaf_number,surface,random_number,angle,length_pixels
hlan,i2,l2,upper,2,0,20.502
hlan,i2,l2,upper,3,-54.462,17.337
hlan,i2,l2,upper,4,-120.466,20.011
hlan,i2,l2,upper,5,-114.228,21.628
hlan,i3,l1,lower,1,5.711,19.558
hlan,i3,l1,lower,2,-90,15
hlan,i3,l1,lower,3,-118.61,12.777
hlan,i3,l1,lower,4,-39.289,14.533
hlan,i3,l1,lower,5,-21.801,16.415
hlan,i3,l1,upper,1,-42.879,19.105
hlan,i3,l1,upper,2,-52.125,22.902
hlan,i3,l1,upper,3,4.764,23.359
hlan,i3,l1,upper,4,-10.784,21.769
hlan,i3,l1,upper,5,55.008,24.223
hlan,i3,l2,lower,1,-53.13,10.467
hlan,i3,l2,lower,2,30.964,11.785
hlan,i3,l2,lower,3,-93.576,15.324
hlan,i3,l2,lower,4,-8.746,12.906
hlan,i3,l2,lower,5,-52.125,11.909
hlan,i3,l2,upper,1,-3.814,15.033
hlan,i3,l2,upper,2,26.565,15.506
hlan,i3,l2,upper,3,49.764,16.776
hlan,i3,l2,upper,4,-47.49,16.265
hlan,i3,l2,upper,5,-64.799,19.09
hlan,i4,l1,lower,1,47.49,16.464
hlan,i4,l1,lower,2,11.31,20.213
hlan,i4,l1,lower,3,0,20
hlan,i4,l1,lower,4,-64.654,21.024
hlan,i4,l1,lower,5,3.013,19.558
hlan,i4,l1,upper,1,59.036,17.951
hlan,i4,l1,upper,2,-45,25.456
hlan,i4,l1,upper,3,-21.251,19.565
hlan,i4,l1,upper,4,-126.254,19.211
hlan,i4,l1,upper,5,-30.466,19.556
hlan,i4,l2,lower,1,16.39,17.604
hlan,i4,l2,lower,2,-41.987,13.454
hlan,i4,l2,lower,3,0,13.252
hlan,i4,l2,lower,4,-28.61,12.971
hlan,i4,l2,lower,5,0,17.167
hlan,i5,l1,lower,1,63.435,16.255
hlan,i5,l1,lower,2,4.086,14.063
hlan,i5,l1,lower,3,-101.889,19.47
hlan,i5,l1,lower,4,-53.746,18.312
hlan,i5,l1,lower,5,-10.008,17.468
hlan,i5,l1,upper,1,-165.069,15.846
hlan,i5,l1,upper,2,-6.71,17.745
hlan,i5,l1,upper,3,-137.121,19.093
hlan,i5,l1,upper,4,-75.069,14.977
hlan,i5,l1,upper,5,-25.201,19.09
hlan,i5,l2,lower,1,-52.431,16.008
hlan,i5,l2,lower,2,3.366,17.029
hlan,i5,l2,lower,3,-51.34,19.526
hlan,i5,l2,lower,4,30.964,11.927
hlan,i5,l2,lower,5,-99.462,24.388
hlan,i5,l2,upper,1,-127.875,22.902
hlan,i5,l2,upper,2,-135,20.506
hlan,i5,l2,upper,3,0,26.255
hlan,i5,l2,upper,4,177.397,22.512
hlan,i5,l2,upper,5,-159.146,22.299
hlan,i6,l1,upper,1,37.875,22.5
hlan,i6,l1,upper,2,149.534,20.156
hlan,i6,l1,upper,3,-40.601,27.877
hlan,i6,l2,lower,1,-93.814,15.033
hlan,i6,l2,lower,2,-45,16.974
hlan,i6,l2,lower,3,41.987,13.975
hlan,i6,l2,lower,4,-4.764,12.185
hlan,i6,l2,lower,5,-37.569,16.101
hlan,i6,l2,upper,1,-76.608,20.858
hlan,i6,l2,upper,2,17.65,23.491
hlan,i6,l2,upper,3,-78.69,19.857
hlan,i6,l2,upper,4,-72.474,19.953
hlan,i7,l1,lower,1,174.806,11.026
hlan,i7,l1,lower,2,0,11.005
hlan,i7,l1,lower,3,0,15.019
hlan,i7,l1,lower,4,-45,15.734
hlan,i7,l1,lower,5,-45,14.674
hlan,i7,l1,upper,1,-47.121,19.623
hlan,i7,l1,upper,2,-5.44,20.824
hlan,i7,l1,upper,3,-22.249,23.866
hlan,i7,l1,upper,4,-87.397,22.013
hlan,i7,l1,upper,5,-163.301,20.881
hlan,i7,l2,lower,1,4.399,13.038
hlan,i7,l2,lower,2,8.746,12.817
hlan,i7,l2,lower,3,-24.775,14.02
hlan,i7,l2,lower,4,28.61,12.53
hlan,i7,l2,lower,5,-10.305,11.597
hlan,i7,l2,upper,1,-59.744,13.987
hlan,i8,l1,lower,1,4.97,22.395
hlan,i8,l1,lower,2,63.435,15.882
hlan,i8,l1,lower,3,-41.634,12.068
hlan,i8,l1,lower,4,60.255,16.125
hlan,i8,l1,lower,5,13.241,17.629
hlan,i8,l1,upper,1,180,21.25
hlan,i8,l1,upper,2,-103.496,25.224
hlan,i8,l1,upper,3,144.782,20.537
hlan,i8,l1,upper,4,-163.301,21.2
hlan,i8,l2,lower,1,-90,15.008
hlan,i8,l2,lower,2,41.987,13.316
hlan,i8,l2,lower,3,-72.897,14.178
hlan,i8,l2,lower,4,0,11.753
hlan,i8,l2,lower,5,-45,12.966
hlan,i8,l2,upper,1,63.435,22.659
hlan,i8,l2,upper,2,26.565,22.659
hlan,i8,l2,upper,3,77.905,28.962
hlan,i8,l2,upper,4,105.945,22.073
hlan,i8,l2,upper,5,2.862,20.044
hlan,i8,l3,lower,1,0,14.667
hlan,i8,l3,lower,2,-7.595,14.329
hlan,i8,l3,lower,3,10.008,17.017
hlan,i8,l3,lower,4,123.69,14.577
hlan,i8,l3,lower,5,-38.66,12.078
hlan,i8,l3,upper,1,55.713,26.912
hlan,i8,l3,upper,2,19.983,23.214
hwlr,i1,l1,lower,1,-67.62,18.454
hwlr,i1,l1,lower,2,42.709,17.855
hwlr,i1,l1,lower,3,35.218,20.852
hwlr,i1,l1,lower,4,-46.975,20.684
hwlr,i1,l1,lower,5,29.055,21.25
hwlr,i1,l1,upper,1,-37.569,16.051
hwlr,i1,l1,upper,2,-86.82,17.564
hwlr,i1,l1,upper,3,5.194,22.069
hwlr,i1,l1,upper,4,39.472,22.492
hwlr,i1,l1,upper,5,41.186,21.426
hwlr,i1,l2,lower,1,-79.38,16.607
hwlr,i1,l2,lower,2,26.565,18.229
hwlr,i1,l2,lower,3,-49.399,18.439
hwlr,i1,l2,lower,4,-104.931,15.366
hwlr,i1,l2,lower,5,-66.371,16.906
hwlr,i1,l2,upper,1,-55.305,16.364
hwlr,i1,l2,upper,2,52.595,21.751
hwlr,i1,l2,upper,3,-100.62,16.194
hwlr,i1,l2,upper,4,2.862,20.006
hwlr,i1,l2,upper,5,56.31,18.236
hwlr,i2,l1,lower,1,25.201,19.082
hwlr,i2,l1,lower,2,-55.305,15.258
hwlr,i2,l1,lower,3,39.806,15.514
hwlr,i2,l1,lower,4,-42.51,16.506
hwlr,i2,l1,lower,5,-11.889,19.958
hwlr,i2,l1,upper,1,0,19.506
hwlr,i2,l1,upper,2,-121.43,21.226
hwlr,i2,l1,upper,3,-113.199,22.718
hwlr,i2,l1,upper,4,-122.276,22.472
hwlr,i2,l1,upper,5,5.194,22.638
hwlr,i2,l2,lower,1,-55.305,15.811
hwlr,i2,l2,lower,2,41.987,14.329
hwlr,i2,l2,lower,3,-36.87,14.91
hwlr,i2,l2,lower,4,-11.31,15.348
hwlr,i2,l2,lower,5,32.735,16.643
hwlr,i2,l2,upper,1,-102.529,18.927
hwlr,i2,l2,upper,2,-133.152,21.216
hwlr,i2,l2,upper,3,-26.565,19.679
hwlr,i2,l2,upper,4,-51.34,19.3
hwlr,i2,l2,upper,5,0,18.003
hwlr,i3,l1,lower,1,-75.256,19.647
hwlr,i3,l1,lower,2,-54.462,16.919
hwlr,i3,l1,lower,3,3.576,15.752
hwlr,i3,l1,lower,4,42.51,16.279
hwlr,i3,l1,lower,5,-49.764,17.062
hwlr,i3,l1,upper,1,-101.31,20.447
hwlr,i3,l1,upper,2,36.87,19.851
hwlr,i3,l1,upper,3,2.291,24.703
hwlr,i3,l1,upper,4,-15.255,22.296
hwlr,i3,l1,upper,5,45,22.627
hwlr,i3,l2,lower,1,-77.471,18.439
hwlr,i3,l2,lower,2,-59.036,17.545
hwlr,i3,l2,lower,3,-86.634,17.587
hwlr,i3,l2,lower,4,-98.531,19.591
hwlr,i3,l2,lower,5,0,16.68
hwlr,i3,l2,upper,1,-60.255,23.732
hwlr,i3,l2,upper,2,60.255,23.505
hwlr,i3,l2,upper,3,9.462,23.927
hwlr,i3,l2,upper,4,-50.194,23.401
hwlr,i3,l2,upper,5,10.784,21.922
hwlr,i4,l1,lower,1,-90,14.75
hwlr,i4,l1,lower,2,-85.914,13.509
hwlr,i4,l1,lower,3,28.301,14.539
hwlr,i4,l1,lower,4,-30.964,17.18
hwlr,i4,l1,lower,5,-130.236,16.839
hwlr,i4,l1,upper,1,19.44,17.792
hwlr,i4,l1,upper,2,-3.18,18.028
hwlr,i4,l1,upper,3,-25.017,16.771
hwlr,i4,l1,upper,4,40.914,19.599
hwlr,i4,l1,upper,5,-119.358,18.737
hwlr,i4,l3,lower,1,-82.875,16.9
hwlr,i4,l3,lower,2,45,14.853
hwlr,i4,l3,lower,3,-60.255,16.869
hwlr,i4,l3,lower,4,25.201,18.683
hwlr,i4,l3,lower,5,-28.301,14.65
hwlr,i4,l3,upper,1,-47.291,17.328
hwlr,i4,l3,upper,2,40.914,19.474
hwlr,i4,l3,upper,3,-36.254,18.252
hwlr,i4,l3,upper,4,63.435,18.337
hwlr,i4,l3,upper,5,-49.399,18.768
hwlr,i5,l1,lower,1,-19.44,18.99
hwlr,i5,l1,lower,2,-39.806,15.436
hwlr,i5,l1,lower,3,-3.18,18.561
hwlr,i5,l1,lower,4,-86.987,18.679
hwlr,i5,l1,lower,5,-14.036,16.372
hwlr,i5,l1,upper,1,-53.746,18.135
hwlr,i5,l1,upper,2,-6.71,17.413
hwlr,i5,l1,upper,3,-50.906,19.912
hwlr,i5,l1,upper,4,-67.62,18.848
hwlr,i5,l1,upper,5,-55.491,19.599
hwlr,i5,l2,lower,1,6.34,18.111
hwlr,i5,l2,lower,2,-49.764,17.257
hwlr,i5,l2,lower,3,3.366,17.545
hwlr,i5,l2,lower,4,31.608,15.821
hwlr,i5,l2,lower,5,0,20.003
hwlr,i5,l2,upper,1,3.013,18.507
hwlr,i5,l2,upper,2,26.565,19.906
hwlr,i5,l2,upper,3,-39.094,20.572
hwlr,i5,l2,upper,4,27.897,18.933
hwlr,i5,l2,upper,5,-19.29,20.924
hwlr,i6,l1,lower,1,-95.44,21.593
hwlr,i6,l1,lower,2,-17.354,17.077
hwlr,i6,l1,lower,3,0,20
hwlr,i6,l1,lower,4,-60.642,18.14
hwlr,i6,l1,lower,5,2.862,20.006
hwlr,i6,l1,upper,1,11.31,20.396
hwlr,i6,l1,upper,2,-84.56,21.095
hwlr,i6,l1,upper,3,-7.765,22.864
hwlr,i6,l1,upper,4,-4.764,24.058
hwlr,i6,l1,upper,5,-27.646,24.373
hwlr,i6,l2,lower,1,-27.897,19.235
hwlr,i6,l2,lower,2,38.157,17.766
hwlr,i6,l2,lower,3,23.962,19.698
hwlr,i6,l2,lower,4,-22.38,18.821
hwlr,i6,l2,lower,5,-60.255,16.627
hwlr,i6,l2,upper,1,-27.408,30.71
hwlr,i6,l2,upper,2,-81.87,20.9
hwlr,i6,l2,upper,3,50.194,23.393
hwlr,i6,l2,upper,4,24.228,22.236
hwlr,i6,l2,upper,5,-45,20.742
hwlr,i7,l1,lower,1,-96.71,16.621
hwlr,i7,l1,lower,2,0,16.667
hwlr,i7,l1,lower,3,-59.744,14.472
hwlr,i7,l1,lower,4,0,16.75
hwlr,i7,l1,lower,5,0,14.833
hwlr,i7,l1,upper,1,-117.897,19.901
hwlr,i7,l1,upper,2,56.31,22.191
hwlr,i7,l1,upper,3,-64.654,21.914
hwlr,i7,l1,upper,4,-69.775,20.57
hwlr,i7,l1,upper,5,0,20
hwlr,i7,l2,lower,1,-14.036,16.576
hwlr,i7,l2,lower,2,-23.962,20.442
hwlr,i7,l2,lower,3,-90,13.171
hwlr,i7,l2,lower,4,38.157,17.609
hwlr,i7,l2,lower,5,-3.366,17.04
hwlr,i7,l2,upper,1,85.236,23.725
hwlr,i7,l2,upper,2,-16.928,24.192
hwlr,i7,l2,upper,3,-50.194,16.138
hwlr,i7,l2,upper,4,58.57,21.36
hwlr,i7,l2,upper,5,-90,19.667
hwlr,i8,l1,lower,1,-77.905,14.391
hwlr,i8,l1,lower,2,48.366,11.503
hwlr,i8,l1,lower,3,12.995,14.022
hwlr,i8,l1,lower,4,28.61,12.971
hwlr,i8,l1,lower,5,-34.992,12.137
hwlr,i8,l1,upper,1,-49.399,18.507
hwlr,i8,l1,upper,2,45,21.685
hwlr,i8,l1,upper,3,-60.945,20.011
hwlr,i8,l1,upper,4,20.854,23.027
hwlr,i8,l1,upper,5,-49.399,18.224
hwlr,i8,l2,lower,1,-61.928,16.707
hwlr,i8,l2,lower,2,0,12.351
hwlr,i8,l2,lower,3,52.125,11.6
hwlr,i8,l2,lower,4,5.194,11.597
hwlr,i8,l2,lower,5,-19.983,11.885
hwlr,i8,l2,upper,1,42.274,15.322
hwlr,i8,l2,upper,2,27.759,21.766
hwlr,i8,l2,upper,3,-83.66,17.745
hwlr,i8,l2,upper,4,-54.782,20.809
hwlr,i8,l2,upper,5,22.38,18.883
kgma,i1,l1,lower,1,-63.435,12.748
kgma,i1,l1,lower,2,-63.435,13.532
kgma,i1,l1,lower,3,-53.13,15.074
kgma,i1,l1,lower,4,-45,12.379
kgma,i1,l1,lower,5,48.013,14.174
kgma,i1,l1,upper,1,-22.38,17.904
kgma,i1,l1,upper,2,-59.036,17.366
kgma,i1,l1,upper,3,180,17.502
kgma,i1,l1,upper,4,84.289,19.66
kgma,i1,l1,upper,5,42.51,15.836
kgma,i1,l2,lower,1,-8.13,13.732
kgma,i1,l2,lower,2,28.301,14.765
kgma,i1,l2,lower,3,-107.103,13.283
kgma,i1,l2,lower,4,-42.51,15.945
kgma,i1,l2,lower,5,18.435,13.072
kgma,i1,l2,upper,1,39.806,16.138
kgma,i1,l2,upper,2,-20.225,20.366
kgma,i1,l2,upper,3,17.526,19.396
kgma,i1,l2,upper,4,-35.538,17.5
kgma,i1,l2,upper,5,-83.66,18.151
kgma,i2,l1,lower,1,-59.036,11.629
kgma,i2,l1,lower,2,-5.711,10.05
kgma,i2,l1,lower,3,0,16
kgma,i2,l1,lower,4,122.471,13.25
kgma,i2,l1,lower,5,59.036,11.877
kgma,i2,l1,upper,1,-14.931,15.89
kgma,i2,l1,upper,2,-83.29,16.455
kgma,i2,l1,upper,3,-51.843,18.535
kgma,i2,l1,upper,4,-56.31,17.845
kgma,i2,l1,upper,5,-98.13,13.933
kgma,i2,l2,lower,1,28.301,14.545
kgma,i2,l2,lower,2,-39.806,15.782
kgma,i2,l2,lower,3,4.764,12.554
kgma,i2,l2,lower,4,-45,13.44
kgma,i2,l2,lower,5,50.711,14.447
kgma,i2,l2,upper,1,-80.538,17.867
kgma,i2,l2,upper,2,0,19
kgma,i2,l2,upper,3,-29.745,24.452
kgma,i2,l2,upper,4,-7.125,24.561
kgma,i2,l2,upper,5,3.18,18.679
kgma,i3,l1,lower,1,-37.875,11.571
kgma,i3,l1,lower,2,-48.013,12.935
kgma,i3,l1,lower,3,61.699,14.765
kgma,i3,l1,lower,4,-39.289,14.409
kgma,i3,l1,lower,5,9.462,12.258
kgma,i3,l1,upper,1,17.354,17.182
kgma,i3,l1,upper,2,-58.392,15.052
kgma,i3,l1,upper,3,45,15.734
kgma,i3,l1,upper,4,-120.964,18.409
kgma,i3,l1,upper,5,56.31,21.838
kgma,i3,l2,lower,1,-99.462,12.87
kgma,i3,l2,lower,2,-26.565,13.53
kgma,i3,l2,lower,3,-36.87,15.734
kgma,i3,l2,lower,4,28.61,13.149
kgma,i3,l2,lower,5,-45,12.512
kgma,i3,l2,upper,1,-27.897,19.015
kgma,i3,l2,upper,2,6.71,17.117
kgma,i3,l2,upper,3,75.964,16.255
kgma,i3,l2,upper,4,-62.103,18.812
kgma,i3,l2,upper,5,3.18,17.695
kgma,i4,l1,lower,1,4.764,11.353
kgma,i4,l1,lower,2,4.764,12.671
kgma,i4,l1,lower,3,48.013,13.793
kgma,i4,l1,lower,4,-90,11.75
kgma,i4,l1,lower,5,-48.366,12.395
kgma,i4,l1,upper,1,28.811,22.825
kgma,i4,l1,upper,2,38.66,25.303
kgma,i4,l1,upper,3,43.264,23.104
kgma,i4,l1,upper,4,-25.463,23.485
kgma,i4,l1,upper,5,-10.305,22.033
kgma,i4,l2,lower,1,-85.601,13.558
kgma,i4,l2,lower,2,-5.194,11.081
kgma,i4,l2,lower,3,-30.256,13.892
kgma,i4,l2,lower,4,-82.405,15.51
kgma,i4,l2,lower,5,-41.186,10.66
kgma,i4,l2,upper,1,-82.405,15.839
kgma,i4,l2,upper,2,-90,16.333
kgma,i4,l2,upper,3,-90,15.337
kgma,i4,l2,upper,4,-51.843,17.544
kgma,i4,l2,upper,5,-45,19.093
kgma,i5,l1,lower,1,-3.576,16.049
kgma,i5,l1,lower,2,-90,14.252
kgma,i5,l1,lower,3,-39.289,13.75
kgma,i5,l1,lower,4,-15.945,14.252
kgma,i5,l1,lower,5,56.31,14.502
kgma,i5,l1,upper,1,-39.094,20.23
kgma,i5,l1,upper,2,-53.973,13.914
kgma,i5,l1,upper,3,-81.87,13.4
kgma,i5,l1,upper,4,-13.496,26.113
kgma,i5,l1,upper,5,-64.654,21.169
kgma,i5,l2,lower,1,7.125,15.381
kgma,i5,l2,lower,2,50.194,15.405
kgma,i5,l2,lower,3,-111.801,16.405
kgma,i5,l2,lower,4,-64.983,16.327
kgma,i5,l2,lower,5,-61.928,16.398
kgma,i5,l2,upper,1,-138.576,22.201
kgma,i5,l2,upper,2,-27.759,21.499
kgma,i5,l2,upper,3,-50.906,20.616
kgma,i5,l2,upper,4,-2.386,24.021
kgma,i5,l2,upper,5,-38.66,19.734
kgma,i6,l1,lower,1,-48.013,13.744
kgma,i6,l1,lower,2,-32.471,13.683
kgma,i6,l1,lower,3,-30.964,11.319
kgma,i6,l1,lower,4,-7.595,15.415
kgma,i6,l1,lower,5,18.435,12.74
kgma,i6,l1,upper,1,15.255,22.482
kgma,i6,l1,upper,2,56.31,18.306
kgma,i6,l1,upper,3,-14.036,21.467
kgma,i6,l1,upper,4,-81.469,19.977
kgma,i6,l2,lower,1,34.992,12.701
kgma,i6,l2,lower,2,-41.987,13.829
kgma,i6,l2,lower,3,-15.945,14.631
kgma,i6,l2,lower,4,3.576,16.002
kgma,i6,l2,lower,5,-81.254,13.558
kgma,i6,l2,upper,1,19.44,17.714
kgma,i6,l2,upper,2,-140.711,14.644
kgma,i6,l2,upper,3,25.463,23.554
kgma,i6,l2,upper,4,-16.699,20.787
kgma,i6,l2,upper,5,-31.43,21.271
kgma,i7,l1,lower,1,21.251,18.883
kgma,i7,l1,lower,2,-41.987,13.966
kgma,i7,l1,lower,3,37.569,16.138
kgma,i7,l1,lower,4,48.366,11.557
kgma,i7,l1,lower,5,-45,16.035
kgma,i7,l1,upper,1,78.69,20.333
kgma,i7,l1,upper,2,-22.38,18.883
kgma,i7,l1,upper,3,-46.637,24.759
kgma,i7,l1,upper,4,-33.69,22.096
kgma,i7,l1,upper,5,39.094,20.616
kgma,i7,l2,lower,1,90,13.25
kgma,i7,l2,lower,2,9.462,12.492
kgma,i7,l2,lower,3,34.992,12.619
kgma,i7,l2,lower,4,-82.875,15.628
kgma,i7,l2,lower,5,80.538,12.555
kgma,i7,l2,upper,1,-10.784,21.378
kgma,i7,l2,upper,2,-14.621,23.286
kgma,i7,l2,upper,3,-2.045,28.04
kgma,i7,l2,upper,4,7.125,24.187
kgma,i7,l2,upper,5,-14.036,24.415
kgma,i8,l1,lower,1,-26.565,17.889
kgma,i8,l1,lower,2,-20.556,16.974
kgma,i8,l1,lower,3,21.038,13.187
kgma,i8,l1,lower,4,18.435,15.811
kgma,i8,l1,lower,5,-82.405,15.628
kgma,i8,l1,upper,1,-2.49,23.022
kgma,i8,l1,upper,2,4.764,24.037
kgma,i8,l1,upper,3,10.784,20.934
kgma,i8,l1,upper,4,-2.603,22.522
kgma,i8,l1,upper,5,-2.726,21.357
kgma,i8,l2,lower,1,4.399,12.772
kgma,i8,l2,lower,2,-56.31,14.769
kgma,i8,l2,lower,3,-29.745,16.415
kgma,i8,l2,lower,4,-37.569,16.607
kgma,i8,l2,lower,5,18.435,12.445
kgma,i8,l2,upper,1,-2.203,26.761
kgma,i8,l2,upper,2,-67.62,18.757
kgma,i8,l2,upper,3,-107.103,26.992
kgma,i8,l2,upper,4,-54.689,28.674
kgma,i8,l2,upper,5,-39.289,28.425
ktrs,i1,l1,lower,1,22.62,12.875
ktrs,i1,l1,lower,2,41.634,12.042
ktrs,i1,l1,lower,3,7.595,15.092
ktrs,i1,l1,lower,4,0,12.01
ktrs,i1,l1,lower,5,5.194,11.275
ktrs,i1,l1,upper,1,-7.765,22.581
ktrs,i1,l1,upper,2,-25.463,23.259
ktrs,i1,l1,upper,3,-70.71,21.662
ktrs,i1,l1,upper,4,-53.746,18.8
ktrs,i1,l1,upper,5,12.804,23.049
ktrs,i1,l2,lower,1,-41.987,13.622
ktrs,i1,l2,lower,2,0,12.671
ktrs,i1,l2,lower,3,35.538,16.935
ktrs,i1,l2,lower,4,-57.529,12.579
ktrs,i1,l2,lower,5,19.654,14.67
ktrs,i1,l2,upper,1,69.775,19.624
ktrs,i1,l2,upper,2,82.405,15.133
ktrs,i1,l2,upper,3,86.82,18.012
ktrs,i1,l2,upper,4,0,18.333
ktrs,i1,l2,upper,5,-14.036,16.74
ktrs,i2,l1,lower,1,68.962,13.987
ktrs,i2,l1,lower,2,-50.194,16.138
ktrs,i2,l1,lower,3,4.764,12.671
ktrs,i2,l1,lower,4,21.038,13.618
ktrs,i2,l1,lower,5,-8.13,13.482
ktrs,i2,l1,upper,1,28.61,25.269
ktrs,i2,l1,upper,2,0,17.013
ktrs,i2,l1,upper,3,111.371,24.642
ktrs,i2,l1,upper,4,16.26,25
ktrs,i2,l2,lower,1,0,13.017
ktrs,i2,l2,lower,2,-40.236,16.359
ktrs,i2,l2,lower,3,-50.711,14.067
ktrs,i2,l2,lower,4,10.305,11.126
ktrs,i2,l2,lower,5,101.31,15.18
ktrs,i2,l2,upper,1,-3.18,18.831
ktrs,i2,l2,upper,2,70.71,20.792
ktrs,i2,l2,upper,3,59.534,19.769
ktrs,i2,l2,upper,4,14.036,21.291
ktrs,i2,l2,upper,5,47.121,19.093
ktrs,i3,l1,lower,1,10.305,11.245
ktrs,i3,l1,lower,2,9.462,11.571
ktrs,i3,l1,lower,3,108.435,12.758
ktrs,i3,l1,lower,4,-5.194,11.319
ktrs,i3,l1,lower,5,15.255,11.866
ktrs,i3,l1,upper,1,19.799,26.062
ktrs,i3,l1,upper,2,7.765,22.204
ktrs,i3,l1,upper,3,21.801,27.067
ktrs,i3,l1,upper,4,74.578,30.46
ktrs,i3,l1,upper,5,17.241,30.683
ktrs,i3,l2,lower,1,-57.529,13.463
ktrs,i3,l2,lower,2,26.565,15.579
ktrs,i3,l2,lower,3,-90,14.009
ktrs,i3,l2,lower,4,20.556,16.945
ktrs,i3,l2,lower,5,-77.005,13.864
ktrs,i3,l2,upper,1,45,19.576
ktrs,i3,l2,upper,2,74.932,26.498
ktrs,i3,l2,upper,3,-124.992,24.557
ktrs,i3,l2,upper,4,177.397,21.357
ktrs,i3,l2,upper,5,0,24.667
ktrs,i4,l1,lower,1,30.256,13.892
ktrs,i4,l1,lower,2,60.945,10.462
ktrs,i4,l1,lower,3,4.764,11.88
ktrs,i4,l1,lower,4,-8.746,13.73
ktrs,i4,l1,lower,5,90,10.833
ktrs,i4,l1,upper,1,-60.255,16.125
ktrs,i4,l1,upper,2,-4.97,23.06
ktrs,i4,l1,upper,3,-9.866,23.265
ktrs,i4,l1,upper,4,-66.501,25.08
ktrs,i4,l1,upper,5,-29.476,25.986
ktrs,i4,l2,lower,1,-30.256,13.73
ktrs,i4,l2,lower,2,-30.964,11.494
ktrs,i4,l2,lower,3,51.34,12.806
ktrs,i4,l2,lower,4,55.305,15.467
ktrs,i4,l2,lower,5,-10.305,11.597
ktrs,i4,l2,upper,1,8.13,21.675
ktrs,i4,l2,upper,2,-12.804,22.317
ktrs,i4,l2,upper,3,-67.068,28.288
ktrs,i4,l2,upper,4,55.008,24.141
ktrs,i4,l2,upper,5,43.152,22.403
ktrs,i5,l1,lower,1,3.814,14.395
ktrs,i5,l1,lower,2,-37.875,11.8
ktrs,i5,l1,lower,3,34.992,12.5
ktrs,i5,l1,lower,4,-68.199,10.515
ktrs,i5,l1,lower,5,-34.992,12.352
ktrs,i5,l1,upper,1,-33.69,25.055
ktrs,i5,l1,upper,2,-26.565,19.978
ktrs,i5,l1,upper,3,-111.038,27.391
ktrs,i5,l1,upper,4,-41.424,22.452
ktrs,i5,l2,lower,1,-59.744,14.181
ktrs,i5,l2,lower,2,45,12.199
ktrs,i5,l2,lower,3,-41.987,14.02
ktrs,i5,l2,lower,4,-71.565,12.412
ktrs,i5,l2,lower,5,-149.036,11.377
ktrs,i5,l2,upper,1,-72.474,20.09
ktrs,i5,l2,upper,2,-52.125,23.135
ktrs,i5,l2,upper,3,-53.616,23.601
ktrs,i5,l2,upper,4,-9.462,18.742
ktrs,i5,l2,upper,5,-59.931,21.499
ktrs,i6,l1,lower,1,-56.31,10.817
ktrs,i6,l1,lower,2,4.764,12.019
ktrs,i6,l1,lower,3,0,11.275
ktrs,i6,l1,lower,4,26.565,10.735
ktrs,i6,l1,lower,5,-78.69,10.919
ktrs,i6,l1,upper,1,0,17.667
ktrs,i6,l1,upper,2,-30.069,21.783
ktrs,i6,l1,upper,3,-28.811,23.071
ktrs,i6,l1,upper,4,-141.34,19.209
ktrs,i6,l1,upper,5,0,19.003
ktrs,i6,l2,lower,1,-11.31,10.607
ktrs,i6,l2,lower,2,-63.435,10.515
ktrs,i6,l2,lower,3,0,11.671
ktrs,i6,l2,lower,4,-53.13,10.277
ktrs,i6,l2,lower,5,26.565,10.966
ktrs,i6,l2,upper,1,-48.576,23.118
ktrs,i6,l2,upper,2,-82.235,21.645
ktrs,i6,l2,upper,3,17.354,16.66
ktrs,i6,l2,upper,4,143.616,24.005
ktrs,i6,l2,upper,5,48.814,21.593
ktrs,i7,l1,lower,1,11.31,15.415
ktrs,i7,l1,lower,2,56.31,17.82
ktrs,i7,l1,lower,3,-108.435,16.447
ktrs,i7,l1,lower,4,86.186,15.019
ktrs,i7,l1,lower,5,96.71,17.046
ktrs,i7,l1,upper,1,71.565,15.391
ktrs,i7,l1,upper,2,39.289,14.02
ktrs,i7,l1,upper,3,49.399,18.693
ktrs,i7,l1,upper,4,150.642,18.358
ktrs,i7,l1,upper,5,-173.66,17.385
ktrs,i7,l2,lower,1,112.62,12.54
ktrs,i7,l2,lower,2,90,12.003
ktrs,i7,l2,lower,3,-39.289,14.213
ktrs,i7,l2,lower,4,10.305,10.467
ktrs,i7,l2,lower,5,19.654,14.866
ktrs,i7,l2,upper,1,144.462,16.159
ktrs,i7,l2,upper,2,135,16.737
ktrs,i7,l2,upper,3,2.603,22.356
ktrs,i7,l2,upper,4,45,17.448
ktrs,i7,l2,upper,5,-56.31,21.45
ktrs,i8,l1,lower,1,6.71,16.869
ktrs,i8,l1,lower,2,75.964,16.211
ktrs,i8,l1,lower,3,41.186,11.15
ktrs,i8,l1,lower,4,79.695,11.18
ktrs,i8,l1,lower,5,39.289,13.703
ktrs,i8,l1,upper,1,99.462,18.577
ktrs,i8,l1,upper,2,35.218,21.082
ktrs,i8,l1,upper,3,78.111,19.416
ktrs,i8,l2,lower,1,-57.529,12.579
ktrs,i8,l2,lower,2,-53.973,14.3
ktrs,i8,l2,lower,3,-48.366,12.257
ktrs,i8,l2,lower,4,5.194,11.377
ktrs,i8,l2,lower,5,-74.745,11.813
ktrs,i8,l2,upper,1,-70.017,24.267
ktrs,i8,l2,upper,2,100.305,21.705
ktrs,i8,l2,upper,3,2.386,24.37
