site_code,individual,leaf_number
mkpb,i1,l3
pkpp,i8,l2
knhp,i7,l2
klkb,i6,l2
hlan,i8,l3
hwlr,i4,l1
kgma,i6,l2
ktrs,i7,l2
knpn,i7,l2
nnpl,NA,NA
whlr,i4,l1
khkp,i9,l1
mmrd,i5,l1
