site_code,individual,replicate,leaf_thickness_pixels,pixels_per_mm,leaf_thickness_um
ktrs,i3,r2,21.868,174.1215,125.59046412993226
ktrs,i3,r3,19.565,174.1215,112.36406761944964
ktrs,i5,r1,30.428,174.1215,174.75153843724067
ktrs,i5,r2,25.353,174.1215,145.60522393845676
ktrs,i5,r3,28.761,174.1215,165.1777638028618
ktrs,i8,r1,24.418,174.1215,140.23541033129166
ktrs,i8,r2,23.712,174.1215,136.1807703241702
ktrs,i8,r3,21.101,174.1215,121.18549403720965
pkpp,i1,r1,34.442,172.22066666666663,199.98761279134138
pkpp,i1,r2,31.397,172.22066666666663,182.30680793245878
pkpp,i1,r3,29.652,172.22066666666663,172.17445834994643
pkpp,i3,r1,33.213,172.22066666666663,192.85141930314214
pkpp,i3,r2,33.534,172.22066666666663,194.7153071059997
pkpp,i3,r3,35.585,172.22066666666663,206.62444693048846
pkpp,i7,r1,34.86,172.22066666666663,202.41473148789734
pkpp,i7,r2,35.989,172.22066666666663,208.97027457022196
pkpp,i7,r3,32.335,172.22066666666663,187.75330873956284
